,period,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units
191,2021-01,STX,TEXAS,EPG0,Natural Gas,PIN,Industrial Price,N3035TX3,Texas Natural Gas Industrial Price (Dollars per Thousand Cubic Feet),2.82,$/MCF
192,2020-12,STX,TEXAS,EPG0,Natural Gas,VRX,Percent Sold to The Commercial Sector,NA1504_STX_4,Texas Natural Gas % of Total Residential - Sales (%),99.9,%
193,2020-12,STX,TEXAS,EPG0,Natural Gas,VFA,% of Industrial Consumers - Sales,N3035TX4,Percent of Industrial Natural Gas Deliveries in Texas Represented by the Price (%),32.8,%
194,2020-12,STX,TEXAS,EPG0,Natural Gas,PCS,Price Delivered to Commercial Sectors,N3020TX3,Texas Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),6.89,$/MCF
195,2020-12,STX,TEXAS,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010TX3,Texas Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),10.33,$/MCF
196,2020-12,STX,TEXAS,EPG0,Natural Gas,PEU,Electric Power Price,N3045TX3,Texas Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),2.82,$/MCF
197,2020-12,STX,TEXAS,EPG0,Natural Gas,VFC,Percent Sold to The Residential Consumers,N3020TX4,Percent of Commercial Natural Gas Deliveries in Texas Represented by the Price (%),77.6,%
198,2020-12,STX,TEXAS,EPG0,Natural Gas,PIN,Industrial Price,N3035TX3,Texas Natural Gas Industrial Price (Dollars per Thousand Cubic Feet),3.03,$/MCF
199,2020-12,STX,TEXAS,EPG0,Natural Gas,PG1,City Gate Price,N3050TX3,Natural Gas Citygate Price in Texas (Dollars per Thousand Cubic Feet),3.15,$/MCF
200,2020-11,STX,TEXAS,EPG0,Natural Gas,PIN,Industrial Price,N3035TX3,Texas Natural Gas Industrial Price (Dollars per Thousand Cubic Feet),3.12,$/MCF
201,2020-11,STX,TEXAS,EPG0,Natural Gas,PG1,City Gate Price,N3050TX3,Natural Gas Citygate Price in Texas (Dollars per Thousand Cubic Feet),3.18,$/MCF
202,2020-11,STX,TEXAS,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010TX3,Texas Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),14.02,$/MCF
203,2020-11,STX,TEXAS,EPG0,Natural Gas,VRX,Percent Sold to The Commercial Sector,NA1504_STX_4,Texas Natural Gas % of Total Residential - Sales (%),99.9,%
204,2020-11,STX,TEXAS,EPG0,Natural Gas,PCS,Price Delivered to Commercial Sectors,N3020TX3,Texas Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),7.71,$/MCF
205,2020-11,STX,TEXAS,EPG0,Natural Gas,VFC,Percent Sold to The Residential Consumers,N3020TX4,Percent of Commercial Natural Gas Deliveries in Texas Represented by the Price (%),67.5,%
206,2020-11,STX,TEXAS,EPG0,Natural Gas,VFA,% of Industrial Consumers - Sales,N3035TX4,Percent of Industrial Natural Gas Deliveries in Texas Represented by the Price (%),31.9,%
207,2020-11,STX,TEXAS,EPG0,Natural Gas,PEU,Electric Power Price,N3045TX3,Texas Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),2.79,$/MCF
208,2020-10,STX,TEXAS,EPG0,Natural Gas,PCS,Price Delivered to Commercial Sectors,N3020TX3,Texas Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),7.18,$/MCF
209,2020-10,STX,TEXAS,EPG0,Natural Gas,PG1,City Gate Price,N3050TX3,Natural Gas Citygate Price in Texas (Dollars per Thousand Cubic Feet),2.58,$/MCF
210,2020-10,STX,TEXAS,EPG0,Natural Gas,PIN,Industrial Price,N3035TX3,Texas Natural Gas Industrial Price (Dollars per Thousand Cubic Feet),2.49,$/MCF
211,2020-10,STX,TEXAS,EPG0,Natural Gas,VRX,Percent Sold to The Commercial Sector,NA1504_STX_4,Texas Natural Gas % of Total Residential - Sales (%),99.8,%
212,2020-10,STX,TEXAS,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010TX3,Texas Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),15.79,$/MCF
213,2020-10,STX,TEXAS,EPG0,Natural Gas,VFC,Percent Sold to The Residential Consumers,N3020TX4,Percent of Commercial Natural Gas Deliveries in Texas Represented by the Price (%),68.2,%
214,2020-10,STX,TEXAS,EPG0,Natural Gas,PEU,Electric Power Price,N3045TX3,Texas Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),2.41,$/MCF
215,2020-10,STX,TEXAS,EPG0,Natural Gas,VFA,% of Industrial Consumers - Sales,N3035TX4,Percent of Industrial Natural Gas Deliveries in Texas Represented by the Price (%),32.0,%
216,2020-09,STX,TEXAS,EPG0,Natural Gas,PCS,Price Delivered to Commercial Sectors,N3020TX3,Texas Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),8.11,$/MCF
217,2020-09,STX,TEXAS,EPG0,Natural Gas,VRX,Percent Sold to The Commercial Sector,NA1504_STX_4,Texas Natural Gas % of Total Residential - Sales (%),99.3,%
218,2020-09,STX,TEXAS,EPG0,Natural Gas,PEU,Electric Power Price,N3045TX3,Texas Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),2.19,$/MCF
219,2020-09,STX,TEXAS,EPG0,Natural Gas,VFC,Percent Sold to The Residential Consumers,N3020TX4,Percent of Commercial Natural Gas Deliveries in Texas Represented by the Price (%),58.3,%
220,2020-09,STX,TEXAS,EPG0,Natural Gas,VFA,% of Industrial Consumers - Sales,N3035TX4,Percent of Industrial Natural Gas Deliveries in Texas Represented by the Price (%),32.6,%
221,2020-09,STX,TEXAS,EPG0,Natural Gas,PIN,Industrial Price,N3035TX3,Texas Natural Gas Industrial Price (Dollars per Thousand Cubic Feet),2.64,$/MCF
222,2020-09,STX,TEXAS,EPG0,Natural Gas,PG1,City Gate Price,N3050TX3,Natural Gas Citygate Price in Texas (Dollars per Thousand Cubic Feet),2.99,$/MCF
223,2020-09,STX,TEXAS,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010TX3,Texas Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),21.6,$/MCF
224,2020-08,STX,TEXAS,EPG0,Natural Gas,PIN,Industrial Price,N3035TX3,Texas Natural Gas Industrial Price (Dollars per Thousand Cubic Feet),2.18,$/MCF
225,2020-08,STX,TEXAS,EPG0,Natural Gas,VFC,Percent Sold to The Residential Consumers,N3020TX4,Percent of Commercial Natural Gas Deliveries in Texas Represented by the Price (%),59.0,%
226,2020-08,STX,TEXAS,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010TX3,Texas Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),21.43,$/MCF
227,2020-08,STX,TEXAS,EPG0,Natural Gas,VFA,% of Industrial Consumers - Sales,N3035TX4,Percent of Industrial Natural Gas Deliveries in Texas Represented by the Price (%),30.6,%
228,2020-08,STX,TEXAS,EPG0,Natural Gas,VRX,Percent Sold to The Commercial Sector,NA1504_STX_4,Texas Natural Gas % of Total Residential - Sales (%),98.4,%
229,2020-08,STX,TEXAS,EPG0,Natural Gas,PEU,Electric Power Price,N3045TX3,Texas Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),2.42,$/MCF
230,2020-08,STX,TEXAS,EPG0,Natural Gas,PG1,City Gate Price,N3050TX3,Natural Gas Citygate Price in Texas (Dollars per Thousand Cubic Feet),2.79,$/MCF
231,2020-08,STX,TEXAS,EPG0,Natural Gas,PCS,Price Delivered to Commercial Sectors,N3020TX3,Texas Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),7.94,$/MCF
232,2020-07,STX,TEXAS,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010TX3,Texas Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),19.76,$/MCF
233,2020-07,STX,TEXAS,EPG0,Natural Gas,PEU,Electric Power Price,N3045TX3,Texas Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),2.01,$/MCF
234,2020-07,STX,TEXAS,EPG0,Natural Gas,PG1,City Gate Price,N3050TX3,Natural Gas Citygate Price in Texas (Dollars per Thousand Cubic Feet),2.79,$/MCF
235,2020-07,STX,TEXAS,EPG0,Natural Gas,PIN,Industrial Price,N3035TX3,Texas Natural Gas Industrial Price (Dollars per Thousand Cubic Feet),1.74,$/MCF
236,2020-07,STX,TEXAS,EPG0,Natural Gas,VFA,% of Industrial Consumers - Sales,N3035TX4,Percent of Industrial Natural Gas Deliveries in Texas Represented by the Price (%),31.5,%
237,2020-07,STX,TEXAS,EPG0,Natural Gas,PCS,Price Delivered to Commercial Sectors,N3020TX3,Texas Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),7.24,$/MCF
238,2020-07,STX,TEXAS,EPG0,Natural Gas,VFC,Percent Sold to The Residential Consumers,N3020TX4,Percent of Commercial Natural Gas Deliveries in Texas Represented by the Price (%),63.3,%
239,2020-07,STX,TEXAS,EPG0,Natural Gas,VRX,Percent Sold to The Commercial Sector,NA1504_STX_4,Texas Natural Gas % of Total Residential - Sales (%),98.6,%
240,2020-06,STX,TEXAS,EPG0,Natural Gas,PEU,Electric Power Price,N3045TX3,Texas Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),1.83,$/MCF
241,2020-06,STX,TEXAS,EPG0,Natural Gas,PIN,Industrial Price,N3035TX3,Texas Natural Gas Industrial Price (Dollars per Thousand Cubic Feet),1.89,$/MCF
242,2020-06,STX,TEXAS,EPG0,Natural Gas,VFA,% of Industrial Consumers - Sales,N3035TX4,Percent of Industrial Natural Gas Deliveries in Texas Represented by the Price (%),32.6,%
243,2020-06,STX,TEXAS,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010TX3,Texas Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),18.75,$/MCF
244,2020-06,STX,TEXAS,EPG0,Natural Gas,PG1,City Gate Price,N3050TX3,Natural Gas Citygate Price in Texas (Dollars per Thousand Cubic Feet),2.75,$/MCF
245,2020-06,STX,TEXAS,EPG0,Natural Gas,PCS,Price Delivered to Commercial Sectors,N3020TX3,Texas Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),8.61,$/MCF
246,2020-06,STX,TEXAS,EPG0,Natural Gas,VFC,Percent Sold to The Residential Consumers,N3020TX4,Percent of Commercial Natural Gas Deliveries in Texas Represented by the Price (%),54.5,%
247,2020-06,STX,TEXAS,EPG0,Natural Gas,VRX,Percent Sold to The Commercial Sector,NA1504_STX_4,Texas Natural Gas % of Total Residential - Sales (%),98.9,%
248,2020-05,STX,TEXAS,EPG0,Natural Gas,PEU,Electric Power Price,N3045TX3,Texas Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),1.98,$/MCF
249,2020-05,STX,TEXAS,EPG0,Natural Gas,VFC,Percent Sold to The Residential Consumers,N3020TX4,Percent of Commercial Natural Gas Deliveries in Texas Represented by the Price (%),60.4,%
250,2020-05,STX,TEXAS,EPG0,Natural Gas,VRX,Percent Sold to The Commercial Sector,NA1504_STX_4,Texas Natural Gas % of Total Residential - Sales (%),99.4,%
251,2020-05,STX,TEXAS,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010TX3,Texas Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),15.84,$/MCF
252,2020-05,STX,TEXAS,EPG0,Natural Gas,PIN,Industrial Price,N3035TX3,Texas Natural Gas Industrial Price (Dollars per Thousand Cubic Feet),1.99,$/MCF
253,2020-05,STX,TEXAS,EPG0,Natural Gas,VFA,% of Industrial Consumers - Sales,N3035TX4,Percent of Industrial Natural Gas Deliveries in Texas Represented by the Price (%),31.8,%
254,2020-05,STX,TEXAS,EPG0,Natural Gas,PG1,City Gate Price,N3050TX3,Natural Gas Citygate Price in Texas (Dollars per Thousand Cubic Feet),2.5,$/MCF
255,2020-05,STX,TEXAS,EPG0,Natural Gas,PCS,Price Delivered to Commercial Sectors,N3020TX3,Texas Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),7.09,$/MCF
256,2020-04,STX,TEXAS,EPG0,Natural Gas,PCS,Price Delivered to Commercial Sectors,N3020TX3,Texas Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),6.03,$/MCF
257,2020-04,STX,TEXAS,EPG0,Natural Gas,PEU,Electric Power Price,N3045TX3,Texas Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),1.83,$/MCF
258,2020-04,STX,TEXAS,EPG0,Natural Gas,VFA,% of Industrial Consumers - Sales,N3035TX4,Percent of Industrial Natural Gas Deliveries in Texas Represented by the Price (%),31.1,%
259,2020-04,STX,TEXAS,EPG0,Natural Gas,VFC,Percent Sold to The Residential Consumers,N3020TX4,Percent of Commercial Natural Gas Deliveries in Texas Represented by the Price (%),66.4,%
260,2020-04,STX,TEXAS,EPG0,Natural Gas,PIN,Industrial Price,N3035TX3,Texas Natural Gas Industrial Price (Dollars per Thousand Cubic Feet),1.86,$/MCF
261,2020-04,STX,TEXAS,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010TX3,Texas Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),13.13,$/MCF
262,2020-04,STX,TEXAS,EPG0,Natural Gas,PG1,City Gate Price,N3050TX3,Natural Gas Citygate Price in Texas (Dollars per Thousand Cubic Feet),2.69,$/MCF
263,2020-04,STX,TEXAS,EPG0,Natural Gas,VRX,Percent Sold to The Commercial Sector,NA1504_STX_4,Texas Natural Gas % of Total Residential - Sales (%),99.7,%
264,2020-03,STX,TEXAS,EPG0,Natural Gas,PEU,Electric Power Price,N3045TX3,Texas Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),1.76,$/MCF
265,2020-03,STX,TEXAS,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010TX3,Texas Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),9.27,$/MCF
266,2020-03,STX,TEXAS,EPG0,Natural Gas,PCS,Price Delivered to Commercial Sectors,N3020TX3,Texas Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),5.65,$/MCF
267,2020-03,STX,TEXAS,EPG0,Natural Gas,VFC,Percent Sold to The Residential Consumers,N3020TX4,Percent of Commercial Natural Gas Deliveries in Texas Represented by the Price (%),70.5,%
268,2020-03,STX,TEXAS,EPG0,Natural Gas,PIN,Industrial Price,N3035TX3,Texas Natural Gas Industrial Price (Dollars per Thousand Cubic Feet),2.04,$/MCF
269,2020-03,STX,TEXAS,EPG0,Natural Gas,VRX,Percent Sold to The Commercial Sector,NA1504_STX_4,Texas Natural Gas % of Total Residential - Sales (%),99.9,%
270,2020-03,STX,TEXAS,EPG0,Natural Gas,VFA,% of Industrial Consumers - Sales,N3035TX4,Percent of Industrial Natural Gas Deliveries in Texas Represented by the Price (%),29.2,%
271,2020-03,STX,TEXAS,EPG0,Natural Gas,PG1,City Gate Price,N3050TX3,Natural Gas Citygate Price in Texas (Dollars per Thousand Cubic Feet),2.43,$/MCF
272,2020-02,STX,TEXAS,EPG0,Natural Gas,PCS,Price Delivered to Commercial Sectors,N3020TX3,Texas Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),5.22,$/MCF
273,2020-02,STX,TEXAS,EPG0,Natural Gas,VRX,Percent Sold to The Commercial Sector,NA1504_STX_4,Texas Natural Gas % of Total Residential - Sales (%),99.9,%
274,2020-02,STX,TEXAS,EPG0,Natural Gas,PG1,City Gate Price,N3050TX3,Natural Gas Citygate Price in Texas (Dollars per Thousand Cubic Feet),2.31,$/MCF
275,2020-02,STX,TEXAS,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010TX3,Texas Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),8.07,$/MCF
276,2020-02,STX,TEXAS,EPG0,Natural Gas,VFC,Percent Sold to The Residential Consumers,N3020TX4,Percent of Commercial Natural Gas Deliveries in Texas Represented by the Price (%),76.2,%
277,2020-02,STX,TEXAS,EPG0,Natural Gas,VFA,% of Industrial Consumers - Sales,N3035TX4,Percent of Industrial Natural Gas Deliveries in Texas Represented by the Price (%),28.9,%
278,2020-02,STX,TEXAS,EPG0,Natural Gas,PEU,Electric Power Price,N3045TX3,Texas Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),1.86,$/MCF
279,2020-02,STX,TEXAS,EPG0,Natural Gas,PIN,Industrial Price,N3035TX3,Texas Natural Gas Industrial Price (Dollars per Thousand Cubic Feet),2.1,$/MCF
280,2020-01,STX,TEXAS,EPG0,Natural Gas,VRX,Percent Sold to The Commercial Sector,NA1504_STX_4,Texas Natural Gas % of Total Residential - Sales (%),100.0,%
281,2020-01,STX,TEXAS,EPG0,Natural Gas,PCS,Price Delivered to Commercial Sectors,N3020TX3,Texas Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),5.57,$/MCF
282,2020-01,STX,TEXAS,EPG0,Natural Gas,VFA,% of Industrial Consumers - Sales,N3035TX4,Percent of Industrial Natural Gas Deliveries in Texas Represented by the Price (%),29.8,%
283,2020-01,STX,TEXAS,EPG0,Natural Gas,PIN,Industrial Price,N3035TX3,Texas Natural Gas Industrial Price (Dollars per Thousand Cubic Feet),2.32,$/MCF
284,2020-01,STX,TEXAS,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010TX3,Texas Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),8.26,$/MCF
285,2020-01,STX,TEXAS,EPG0,Natural Gas,PEU,Electric Power Price,N3045TX3,Texas Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),1.93,$/MCF
286,2020-01,STX,TEXAS,EPG0,Natural Gas,PG1,City Gate Price,N3050TX3,Natural Gas Citygate Price in Texas (Dollars per Thousand Cubic Feet),2.55,$/MCF
287,2020-01,STX,TEXAS,EPG0,Natural Gas,VFC,Percent Sold to The Residential Consumers,N3020TX4,Percent of Commercial Natural Gas Deliveries in Texas Represented by the Price (%),78.7,%
